priority,route,primary_keyword,secondary_keywords,search_intent,title
"P0","/","million minds tech city ahmedabad","million minds tech city | million minds tech city office space | MMTC Ahmedabad","brand/entity","Million Minds Tech City Ahmedabad | Office Space & M One"
"P0","/m-one-million-minds-tech-city","M One Ahmedabad","M One Million Minds Tech City | M One Ahmedabad specifications","informational/commercial","M One Ahmedabad | Office Tower & Specifications"
"P0","/million-minds-tech-city-address-location","million minds tech city address","million minds tech city location | million minds tech city Ahmedabad map","informational/navigational","Million Minds Tech City Address & Location | Ahmedabad"
"P0","/million-minds-tech-city-companies","million minds tech city companies","companies in million minds tech city | million minds tech city occupiers","informational/navigational","Million Minds Tech City Companies | Occupier Tracker"
"P0","/million-minds-tech-city-developer","million minds tech city developer","who developed million minds tech city | Ganesh Housing Million Minds Tech City","informational/navigational","Million Minds Tech City Developer | Ganesh Housing Limited"
"P0","/million-minds-tech-city-office-space","million minds tech city office space","million minds tech city leasing | Grade A office space Ahmedabad","commercial","Million Minds Tech City Office Space | Leasing Guide"
"P0","/million-minds-tech-city-sez","million minds tech city SEZ","million minds tech city IT SEZ | IT SEZ Ahmedabad","informational/commercial","Million Minds Tech City SEZ | Ahmedabad Guide"
"P0","/million-minds-tech-city-specifications","million minds tech city specifications","M One specifications Ahmedabad | million minds tech city floor plate","informational/commercial","Million Minds Tech City Specifications | M One"
"P1","/areas-near-million-minds-tech-city","areas near Million Minds Tech City","Million Minds Tech City nearby areas | office location near Nirma University | Vaishnodevi Circle office location | north Ahmedabad business areas","local informational/commercial","Areas Near Million Minds Tech City | Location Guide"
"P1","/blog","million minds tech city blog","Ahmedabad office space guide | GCC Ahmedabad insights","editorial hub","Million Minds Tech City Blog | Ahmedabad Offices"
"P1","/blog/best-office-locations-ahmedabad-gcc","best office locations in ahmedabad for gcc teams","","editorial/informational","Best Office Locations in Ahmedabad for GCC Teams"
"P1","/blog/commercial-office-lease-checklist-ahmedabad","commercial office lease checklist Ahmedabad","office lease due diligence India | commercial property lease checklist | Ahmedabad office leasing documents | office rent agreement checklist","informational/commercial research","Commercial Office Lease Checklist Ahmedabad | Due Diligence"
"P1","/blog/companies-in-million-minds-tech-city","companies in million minds tech city: reported occupiers","","editorial/informational","Companies in Million Minds Tech City: Reported Occupiers"
"P1","/blog/gcc-office-site-selection-checklist","GCC office site selection checklist","GCC office Ahmedabad | Global Capability Centre location strategy | GCC real estate checklist India | Ahmedabad GCC office requirements","informational/commercial research","GCC Office Site Selection Checklist | Ahmedabad"
"P1","/blog/is-million-minds-tech-city-an-sez","is million minds tech city an it/ites sez?","","editorial/informational","Is Million Minds Tech City an SEZ? IT/ITeS Context Explained"
"P1","/blog/it-park-ahmedabad-evaluation-guide","it park in ahmedabad: what global companies should evaluate","","editorial/informational","IT Park in Ahmedabad: Enterprise Evaluation Guide"
"P1","/blog/large-floor-plates-enterprise-office-planning","why large floor plates matter for enterprise office planning","","editorial/informational","Large Floor Plates: Enterprise Office Planning Guide"
"P1","/blog/m-one-floor-plates-specifications-leasing","m one: floor plates, specifications & leasing","","editorial/informational","M One: Floor Plates, Specifications & Leasing Guide"
"P1","/blog/million-minds-tech-city-address-location-guide","million minds tech city address, location & how to reach","","editorial/informational","Million Minds Tech City Address, Location & How to Reach"
"P1","/blog/million-minds-tech-city-ahmedabad-guide","million minds tech city ahmedabad: complete 2026 guide","","editorial/informational","Million Minds Tech City Ahmedabad: Complete 2026 Guide"
"P1","/blog/million-minds-tech-city-vs-gift-city","million minds tech city vs gift city: office ecosystem comparison","","editorial/informational","Million Minds Tech City vs GIFT City: Office Comparison"
"P1","/blog/office-space-requirement-calculator-ahmedabad","office space requirement calculator Ahmedabad","office space per employee Ahmedabad | office size calculator | corporate workplace area planning | how much office space do I need","informational/research","Office Space Requirement Calculator for Ahmedabad Teams"
"P1","/blog/office-space-sg-highway-ahmedabad-guide","office space on sg highway ahmedabad: 2026 business guide","","editorial/informational","Office Space on SG Highway Ahmedabad: 2026 Guide"
"P1","/blog/sez-vs-non-sez-office-space-gujarat","sez vs non-sez office space in gujarat: practical guide","","editorial/informational","SEZ vs Non-SEZ Office Space in Gujarat"
"P1","/blog/sg-highway-office-location-comparison","SG Highway office location comparison","best office location SG Highway | Ahmedabad office location scorecard | SG Highway commercial property comparison","informational/commercial research","SG Highway Office Location Comparison | Ahmedabad Scorecard"
"P1","/blog/showroom-location-selection-ahmedabad","showroom location selection Ahmedabad","how to choose showroom Ahmedabad | best showroom location SG Highway | retail site selection Ahmedabad | showroom frontage parking checklist","informational/commercial research","How to Choose a Showroom Location in Ahmedabad"
"P1","/blog/what-makes-grade-a-office-building","what makes a grade a office building?","","editorial/informational","What Makes a Grade A Office Building?"
"P1","/blog/who-developed-million-minds-tech-city","ganesh housing and the partners behind million minds tech city","","editorial/informational","Who Developed Million Minds Tech City? | Project Guide"
"P1","/blog/why-ahmedabad-is-emerging-as-gcc-destination","why ahmedabad is emerging as a gcc destination","","editorial/informational","Why Ahmedabad Is Emerging as a GCC Destination"
"P1","/corporate-office-space-ahmedabad","corporate office space Ahmedabad","enterprise office Ahmedabad | corporate office for rent Ahmedabad | large corporate office SG Highway | Grade A corporate office Ahmedabad","commercial","Corporate Office Space Ahmedabad | Enterprise Leasing Guide"
"P1","/gcc-office-space-ahmedabad","GCC office space Ahmedabad","Global Capability Centre office Ahmedabad | Gujarat GCC office space","commercial/research","GCC Office Space in Ahmedabad | Enterprise Location Guide"
"P1","/it-park-ahmedabad","IT park Ahmedabad","tech park Ahmedabad | SEZ IT park Ahmedabad","commercial/research","IT Park Ahmedabad | IT/ITeS & Enterprise Office Guide"
"P1","/localities/nirma-university-ahmedabad","office space near Nirma University Ahmedabad","commercial office near Nirma University | Million Minds Tech City Nirma University | office off SG Highway Ahmedabad","local commercial","Office Near Nirma University Ahmedabad | Location Guide"
"P1","/localities/s-g-highway-ahmedabad","SG Highway Ahmedabad business district","office space SG Highway Ahmedabad | business park Ahmedabad SG Highway","local informational","SG Highway Ahmedabad Business & Office Location Guide"
"P1","/localities/vaishnodevi-circle-ahmedabad","Vaishnodevi Circle Ahmedabad office location","office near Vaishnodevi Circle | commercial property Vaishnodevi Circle Ahmedabad | Million Minds Tech City Vaishnodevi Circle","local commercial research","Vaishnodevi Circle Ahmedabad | Office Location Guide"
"P1","/luxury-office-space-ahmedabad","luxury office space Ahmedabad","premium office space Ahmedabad | luxury commercial office SG Highway | high-end corporate office Ahmedabad | Grade A luxury office Ahmedabad","commercial","Luxury Office Space Ahmedabad | Premium Workplace Guide"
"P1","/million-minds-tech-city-news","million minds tech city latest news","million minds tech city updates | M One Ahmedabad news","freshness/informational","Million Minds Tech City News & Updates | Ahmedabad"
"P1","/office-space-near-gift-city","office space near GIFT City","office space Ahmedabad GIFT City corridor | commercial office near GIFT City Ahmedabad","commercial/research","Office Space Near GIFT City Corridor | Ahmedabad Guide"
"P1","/office-space-sg-highway-ahmedabad","office space SG Highway Ahmedabad","Grade A office space SG Highway Ahmedabad | office leasing SG Highway Ahmedabad","commercial","SG Highway Ahmedabad Office Space | Leasing Guide"
